"id","dateAdded","dateUpdated","address","categories","primaryCategories","city","country","keys","latitude","longitude","name","postalCode","province","reviews.date","reviews.dateAdded","reviews.dateSeen","reviews.rating","reviews.sourceURLs","reviews.text","reviews.title","reviews.userCity","reviews.userProvince","reviews.username","sourceURLs","websites"
"AWE2FvX5RxPSIh2RscTK","2018-01-18T18:43:12Z","2019-05-20T23:55:47Z","5620 Calle Real","Hotels,Hotels and motels,Hotel and motel mgmt.,Lodging,Hotels Motels,Hotel","Accommodation & Food Services","Goleta","US","us/ca/goleta/5620callereal/-1127060008",34.44178,-119.81979,"Best Western Plus South Coast Inn","93117","CA","2018-01-01T00:00:00.000Z",NA,"2018-01-03T00:00:00Z",3,"https://www.tripadvisor.com/Hotel_Review-g32438-d81780-Reviews-Best_Western_Plus_South_Coast_Inn-Goleta_California.html","This hotel was nice and quiet. Did not know, there was train track near by. But it was only few train passed during our stay. Best Western changed hotel classification. The Plus category are not the same as before.","Best Western Plus Hotel","San Jose","UnitedStates","tatsurok2018","https://www.tripadvisor.com/Hotel_Review-g32438-d81780-Reviews-Best_Western_Plus_South_Coast_Inn-Goleta_California.html,https://www.yellowpages.com/goleta-ca/mip/best-western-plus-south-coast-inn-21941589,http://www.citysearch.com/profile/717767/goleta_ca/best_western.html,https://www.booking.com/hotel/us/south-coast-inn.html;srpvid=982b7e4c3f0d052c;srepoch=1551722264;hpos=13;hapos=13;dest_id=20015794;dest_type=city;sr_order=popularity?from=searchresults","https://www.bestwestern.com/en_US/book/hotel-rooms.05521.html?iata=00171890andssob=BLBWI0003Gandcid=BLBWI0003G:yext:website:05521,https://www.bestwestern.com/en_US/book/hotel-rooms.05521.html?iata=00171890&ssob=BLBWI0003G&cid=BLBWI0003G:yext:website:05521"
"AVwcj_OhkufWRAb5wi9T","2016-11-06T20:21:05Z","2019-05-20T23:31:56Z","5th And San Carlos PO Box 3574","Hotels,Lodging,Hotel","Accommodation & Food Services","Carmel by the Sea","US","us/ca/carmelbythesea/5thandsancarlospobox3574/50035798",36.55722,-121.92194,"Best Western Carmel's Town House Lodge","93921","CA","2016-04-02T00:00:00Z",NA,"2016-10-09T00:00:00Z",4,"https://www.tripadvisor.com/Hotel_Review-g32172-d76386-Reviews-or30-BEST_WESTERN_Carmel_s_Town_House_Lodge-Carmel_Monterey_Peninsula_California.html%252523REVIEWS","We stayed in the king suite with the separation between the bedroom and the living space. The sofa bed wasn't very good I had back discomfort by the day we left on our three night stay. The room is clean, and the king bed very comfortable. This hotel is located within walking distance to most places you will want to... More","Clean rooms at solid rates in the heart of Carmel","San Francisco","CA","STEPHEN N","http://www.tripadvisor.com/Hotel_Review-g32172-d76386-Reviews-or30-BEST_WESTERN_Carmel_s_Town_House_Lodge-Carmel_Monterey_Peninsula_California.html%252523REVIEWS,https://www.yellowpages.com/carmel-ca/mip/best-western-carmels-town-house-lodge-496678069,http://www.tripadvisor.com/Hotel_Review-g32172-d76386-Reviews-BEST_WESTERN_Carmel_s_Town_House_Lodge-Carmel_Monterey_Peninsula_California.html,https://www.tripadvisor.com/Hotel_Review-g32172-d76386-Reviews-BEST_WESTERN_Carmel_s_Town_House_Lodge-Carmel_Monterey_Peninsula_California.html,https://www.tripadvisor.com/Hotel_Review-g32172-d76386-Reviews-or60-BEST_WESTERN_Carmel_s_Town_House_Lodge-Carmel_Monterey_County_California.html%252523REVIEWS,https://www.tripadvisor.com/Hotel_Review-g32172-d76386-Reviews-or50-BEST_WESTERN_Carmel_s_Town_House_Lodge-Carmel_Monterey_County_California.html%252523REVIEWS,https://www.tripadvisor.com/Hotel_Review-g32172-d76386-Reviews-or40-BEST_WESTERN_Carmel_s_Town_House_Lodge-Carmel_Monterey_County_California.html%252523REVIEWS,https://www.tripadvisor.com/Hotel_Review-g32172-d76386-Reviews-or30-BEST_WESTERN_Carmel_s_Town_House_Lodge-Carmel_Monterey_County_California.html%252523REVIEWS,http://www.tripadvisor.com/Hotel_Review-g32172-d76386-Reviews-or40-BEST_WESTERN_Carmel_s_Town_House_Lodge-Carmel_Monterey_Peninsula_California.html%252523REVIEWS,https://www.tripadvisor.com/Hotel_Review-g32172-d76386-Reviews-BEST_WESTERN_Carmel_s_Town_House_Lodge-Carmel_Monterey_County_California.html,https://www.tripadvisor.com/Hotel_Review-g32172-d76386-Reviews-or10-BEST_WESTERN_Carmel_s_Town_House_Lodge-Carmel_Monterey_County_California.html%252523REVIEWS,http://www.tripadvisor.com/Hotel_Review-g32172-d76386-Reviews-or10-BEST_WESTERN_Carmel_s_Town_House_Lodge-Carmel_Monterey_Peninsula_California.html%252523REVIEWS,https://www.tripadvisor.com/Hotel_Review-g32172-d76386-Reviews-or20-BEST_WESTERN_Carmel_s_Town_House_Lodge-Carmel_Monterey_County_California.html%252523REVIEWS,http://www.tripadvisor.com/Hotel_Review-g32172-d76386-Reviews-or20-BEST_WESTERN_Carmel_s_Town_House_Lodge-Carmel_Monterey_Peninsula_California.html%252523REVIEWS","http://www.bestwestern.com"
"AVweLARAByjofQCxv5vX","2016-05-16T22:39:30Z","2019-05-20T23:28:44Z","167 W Main St","Hotels,Hotels and motels,Hotel,Restaurants","Accommodation & Food Services","Lexington","US","us/ky/lexington/167wmainst/-1165617038",38.047014,-84.497742,"21c Museum Hotel Lexington","40507","KY","2016-03-15T00:00:00Z",NA,"2016-03-19T00:00:00Z",4,"http://www.tripadvisor.com/Hotel_Review-g39588-d8623360-Reviews-21c_Museum_Hotel_Lexington-Lexington_Kentucky.html","This is such a fun, lovely hotel. The attention to detail is impressive, from the thicker rimmed water glasses to the extra fluffy towels. Loved the vibrant art which lends itself to a hip vibe. My only disappointment was at their restaurant, the Lockbox. The menu is just trying too hard. I am a fairly adventurous eater but each of... More","Loved staying here","Nashville","TN","LKDiScenza","https://www.tripadvisor.com/Hotel_Review-g39588-d8623360-Reviews-21c_Museum_Hotel_Lexington-Lexington_Kentucky.html,https://www.yellowbook.com/profile/21c-museum-hotel-lexington_1899659177.html,https://www.hotels.com/ho392800800/21c-museum-hotel-lexington-lexington-united-states-of-america/","http://www.firstnational.com/,https://www.21cmuseumhotels.com,https://www.21cmuseumhotels.com/"
"AV1thAoL3-Khe5l_Ott5","2017-07-23T03:35:56Z","2019-05-20T23:28:32Z","115 W Steve Wariner Dr","Hotels and motels,Hotel","Accommodation & Food Services","Russell Springs","US","us/ky/russellsprings/115wstevewarinerdr/-411694349",37.065296,-85.07358,"Springs Motel LLC","42642","KY","2015-08-13T00:00:00.000Z",NA,"2017-12-17T00:00:00Z,2017-07-13T00:00:00Z",1,"https://www.tripadvisor.com/Hotel_Review-g39813-d4943963-Reviews-The_Springs_Motel-Russell_Springs_Kentucky.html,http://tripadvisor.com/Hotel_Review-g39813-d4943963-Reviews-The_Springs_Motel-Russell_Springs_Kentucky.html","I reserved a room a week in advance, knowing a motel is usually not great accommodations but we were just passing thru during the longest yard sale. I was quoted 50 over the phone and given our room numbers as a confirmation number and she...More","worst customer service ever","Hanceville","Alabama","madaramapquest","https://www.tripadvisor.com/Hotel_Review-g39813-d4943963-Reviews-The_Springs_Motel-Russell_Springs_Kentucky.html,https://www.yellowbook.com/profile/springs-motel-llc_1889659990.html,http://tripadvisor.com/Hotel_Review-g39813-d4943963-Reviews-The_Springs_Motel-Russell_Springs_Kentucky.html","http://www.springsmotelky.com/,http://www.springsmotelky.com"
"AVz6h4Sb3D1zeR_xDHsu","2017-06-30T19:43:24Z","2019-05-20T23:27:06Z","2240 Buena Vista Rd","Budget Hotels,Hotels and motels,Hotel and motel reservations,Lodging,Hotels Motels,Hotel","Accommodation & Food Services","Lexington","US","us/ky/lexington/2240buenavistard/-659606824",38.0421,-84.4271,"Microtel Inn Suites By Wyndham Lexington","40505","KY","2017-06-15T00:00:00.000Z",NA,"2017-06-26T00:00:00Z",5,"https://www.tripadvisor.co.uk/Hotel_Review-g39588-d225047-Reviews-Microtel_Inn_Suites_By_Wyndham_Lexington-Lexington_Kentucky.html","MoreMore","Location Location Location","Jeffersonville","Indiana","IUMIKECOO","https://www.yellowbook.com/profile/microtel-inn-and-suites-by-wyndham-lexington_1897363244.html,http://www.citysearch.com/profile/4314464/lexington_ky/microtel_inn_suites_by_wyndham_lexington.html,https://www.tripadvisor.co.uk/Hotel_Review-g39588-d225047-Reviews-Microtel_Inn_Suites_By_Wyndham_Lexington-Lexington_Kentucky.html","https://www.wyndhamhotels.com,https://www.wyndhamhotels.com/"
"AVwdo6WHByjofQCxrGaj","2016-11-02T17:23:39Z","2019-05-20T23:26:47Z","1107 N Main St","Hotels,Bed Breakfasts,Bed & Breakfasts,Hotels and motels,Lodging,Hotels Motels,travel,Motels,Hotels & Motels,Hotel","Accommodation & Food Services","Hopkinsville","US","us/ky/hopkinsville/1107nmainst/-1877262391",36.889,-87.4813,"American Inn","42240","KY","2014-07-15T00:00:00Z",NA,"2016-03-19T00:00:00Z,2016-05-10T00:00:00Z,2016-07-18T00:00:00Z",1,"https://www.tripadvisor.com/Hotel_Review-g39517-d6902839-Reviews-American_Inn-Hopkinsville_Kentucky.html","Hello, I have traveled a lot and abroad and by far this is the worst place i have ever booked. i paid got the key and walked in. OMG the place is HORRIBLE. this place is one of those hotels they show in horror movies where they kill people. I kid you not! this place is horrible. i only stayed... More","The worst place i've booked","Lawton","OK","johnnytuba","http://www.citysearch.com/profile/4378740/hopkinsville_ky/american_inn.html,https://www.yellowbook.com/profile/american-inn_1530194539.html,http://www.yellowpages.com/hopkinsville-ky/mip/american-inn-8583386","http://www.americinn.com/"
"AVwcuo0eIN2L1WUfoPEk","2016-03-23T04:19:28Z","2019-05-20T23:26:33Z","1953 Nicholasville Rd","Hotels,Hotels and motels,Hotel and motel reservations,Corporate Lodging,Lodging,Hotel","Accommodation & Food Services","Lexington","US","us/ky/lexington/1953nicholasvillerd/861200040",38.01243,-84.51635,"Hampton Inn Lexington Medical Center","40503","KY","2016-07-06T00:00:00Z",NA,"2016-07-18T00:00:00Z",5,"https://www.tripadvisor.com/Hotel_Review-g39588-d9033823-Reviews-Hampton_Inn_Lexington_Medical_Center-Lexington_Kentucky.html","This is a new Hampton Inn and is well decorated. The color scheme gives a feeling of luxury and is very restful. The beds are comfortable and the black out curtains keep the room dark for a good nights sleep. The entrance is a little difficult to find so look closely for the sign. The staff was very friendly and... More","Beautiful hotel","Williamsburg","VA","colonialgal","https://www.yellowpages.com/lexington-ky/mip/hampton-inn-lexington-medical-center-520685636,http://tripadvisor.com/Hotel_Review-g39588-d9033823-Reviews-Hampton_Inn_Lexington_Medical_Center-Lexington_Kentucky.html,https://www.tripadvisor.com/Hotel_Review-g39588-d9033823-Reviews-Hampton_Inn_Lexington_Medical_Center-Lexington_Kentucky.html,https://www.yellowbook.com/profile/hampton-inn-lexington-medical-center_1900146744.html,https://www.tripadvisor.co.uk/Hotel_Review-g39588-d9033823-Reviews-Hampton_Inn_Lexington_Medical_Center-Lexington_Kentucky.html,http://www.tripadvisor.com/Hotel_Review-g39588-d9033823-Reviews-Hampton_Inn_Lexington_Medical_Center-Lexington_Kentucky.html","https://ad.doubleclick.net/ddm/clk/317271033;145636969;l;u=Y_LEXMCHX_W_D?http://www3.hilton.com/en_US/hi/doorway/index.htm?sourceCode=00081391andredirectURL=http%3A%2F%2Fwww3.hilton.com%2Fen%2Fhotels%2F0%2FLEXMCHX%2Findex.html%3FWT.mc_id%3DzDA01MB2OLG34YX,http://www.hamptoninn3.hilton.com,http://www.hamptoninn3.hilton.com/"
"AWB2mcqARxPSIh2RpdHz","2017-12-21T00:00:53Z","2019-05-20T23:10:15Z","4200 Via Real","Hotels,Lodging,Hotels Motels,Motels,Hotel","Accommodation & Food Services","Carpinteria","US","us/ca/carpinteria/4200viareal/1997906078",34.40507,-119.53119,"Motel 6 Santa Barbara - Carpinteria North","93013","CA","2017-11-11T00:00:00.000Z",NA,"2018-01-03T00:00:00Z,2017-12-17T00:00:00Z",3,"https://www.tripadvisor.com/Hotel_Review-g32176-d240039-Reviews-Motel_6_Santa_Barbara_Carpinteria_North-Carpinteria_California.html","I stayed here for three nights while I explored nearby Santa Barbara. This place is ok for a night or two, if you can live the excess noise coming from the freeway, then three nights is just about doable","Good for location","London","UnitedKingdom","Jonathan C","http://www.citysearch.com/profile/695299/carpinteria_ca/motel_6.html,https://www.tripadvisor.com/Hotel_Review-g32176-d240039-Reviews-Motel_6_Santa_Barbara_Carpinteria_North-Carpinteria_California.html,https://www.yellowpages.com/carpinteria-ca/mip/motel-6-santa-barbara-carpinteria-north-2504536","https://www.motel6.com/en/motels.ca.carpinteria.346.html?lid=X_PMG_NaturalSearch_Local_Yext_346&utm_source=local&utm_medium=local&utm_campaign=yextlocal-346&travelAgentNumber=TA001305&corporatePlusNumber=CP792N5W,https://www.motel6.com/en/motels.ca.carpinteria.346.html?lid=X_PMG_NaturalSearch_Local_Yext_346andutm_source=localandutm_medium=localandutm_campaign=yextlocal-346andtravelAgentNumber=TA001305andcorporatePlusNumber=CP792N5W"
"AVwdhvN2kufWRAb56xSm","2017-01-16T18:09:54Z","2019-05-20T23:08:26Z","1818 El Camino Real","Hotels,Hotels and motels,Budget Hotels,Corporate Lodging,Lodging,Hotels Motels,Motels,Family-friendly Hotels,Hotel,Business Hotels","Accommodation & Food Services","Redwood City","US","us/ca/redwoodcity/1818elcaminoreal/-728412515",37.4777,-122.2249,"Comfort Inn","94063","CA","2016-04-20T00:00:00Z",NA,"2016-05-13T00:00:00Z",5,"https://www.tripadvisor.com/Hotel_Review-g32956-d80312-Reviews-Comfort_Inn-Redwood_City_California.html","Completely accommodating hotel! I booked a reservation last minute day of, used points to offset the cost and even called the front desk to ask for a little help. They were completely kind and welcoming, especially accommodating while under construction. Thank you!","Under construction and extremely accomodating","Los Angeles","CA","Kristen Y","http://tripadvisor.com/Hotel_Review-g32956-d80312-Reviews-Comfort_Inn-Redwood_City_California.html,http://www.yellowpages.com/redwood-city-ca/mip/comfort-inn-467988205,http://www.yellowbook.com/profile/the-comfort-inn_1897657000.html,https://www.tripadvisor.com/Hotel_Review-g32956-d80312-Reviews-Comfort_Inn-Redwood_City_California.html,https://foursquare.com/v/comfort-inn/4bc3db4cdce4eee1e7c7719d,https://www.trip.com/redwood-city-ca/hotels/comfort-inn,https://www.yellowpages.com/redwood-city-ca/mip/comfort-inn-467988205","https://www.choicehotels.com/california/redwood-city/comfort-inn-hotels/ca164?mc=llyxyxpx,https://www.choicehotels.com/california/redwood-city/comfort-inn-hotels/ca164?pmf=yextandmc=llyxyxpx,https://www.choicehotels.com/california/redwood-city/comfort-inn-hotels/ca164/rates?source=yext,https://www.choicehotels.com/california/redwood-city/comfort-inn-hotels/ca164?pmf=yext&mc=llyxyxpx"
"AWV8VsCtRxPSIh2RyTvS","2018-08-27T17:01:16Z","2019-05-20T21:40:08Z","610 Poydras St","Building,Hotels and motels,Hotel","Accommodation & Food Services","New Orleans","US","us/la/neworleans/610poydrasst/-946012914",29.949125,-90.069748,"The Whitney Hotel","70130","LA","2015-06-29T00:00:00.000Z",NA,"2018-11-06T00:00:00Z,2018-08-26T00:00:00Z",3,"https://www.tripadvisor.com/Hotel_Review-g60864-d218544-Reviews-or1265-The_Whitney_Hotel-New_Orleans_Louisiana.html#REVIEWS","The water is very hot and there's no cold water at all... It's awful.. The food is not good.. The staff is friendly and very nice.. More upscale items should be offered for the price of the room at 200. A night! Snacks, toiletries, menus and food and drinks offered.. Promote your business... I'm sorry to hear we didn't exceed your expectations but thank you for bringing these issues to our attention. We take your feedback seriously and will share it with the staff. I hope we'll get another opportunity to make a better impression when you return to New Orleans. Feel free to contact me if you would like to discuss your stay further. Sincerely, Casey A. CallaisGeneral Manager","Very hot water, bad food","Honolulu","Hawaii","Stacy D","https://www.tripadvisor.com/Hotel_Review-g60864-d218544-Reviews-or990-The_Whitney_Hotel-New_Orleans_Louisiana.html%23REVIEWS,https://www.tripadvisor.com/Hotel_Review-g60864-d218544-Reviews-or1270-The_Whitney_Hotel-New_Orleans_Louisiana.html%23REVIEWS,https://www.tripadvisor.com/Hotel_Review-g60864-d218544-Reviews-or850-The_Whitney_Hotel-New_Orleans_Louisiana.html#REVIEWS,https://foursquare.com/v/the-whitney-hotel/54b058c1498ef39257abd2f9,https://www.tripadvisor.com/Hotel_Review-g60864-d218544-Reviews-or1480-The_Whitney_Hotel-New_Orleans_Louisiana.html#REVIEWS,https://www.tripadvisor.com/Hotel_Review-g60864-d218544-Reviews-or445-The_Whitney_Hotel-New_Orleans_Louisiana.html#REVIEWS,https://www.tripadvisor.com/Hotel_Review-g60864-d218544-Reviews-or1330-The_Whitney_Hotel-New_Orleans_Louisiana.html%23REVIEWS,https://www.tripadvisor.com/Hotel_Review-g60864-d218544-Reviews-or1255-The_Whitney_Hotel-New_Orleans_Louisiana.html#REVIEWS,https://www.tripadvisor.com/Hotel_Review-g60864-d218544-Reviews-or1460-The_Whitney_Hotel-New_Orleans_Louisiana.html%23REVIEWS,https://www.tripadvisor.com/Hotel_Review-g60864-d218544-Reviews-or540-The_Whitney_Hotel-New_Orleans_Louisiana.html#REVIEWS,https://www.tripadvisor.com/Hotel_Review-g60864-d218544-Reviews-or1180-The_Whitney_Hotel-New_Orleans_Louisiana.html#REVIEWS,https://www.tripadvisor.com/Hotel_Review-g60864-d218544-Reviews-or1020-The_Whitney_Hotel-New_Orleans_Louisiana.html#REVIEWS,https://www.tripadvisor.com/Hotel_Review-g60864-d218544-Reviews-or275-The_Whitney_Hotel-New_Orleans_Louisiana.html%23REVIEWS,https://www.tripadvisor.com/Hotel_Review-g60864-d218544-Reviews-or1170-The_Whitney_Hotel-New_Orleans_Louisiana.html#REVIEWS,https://www.tripadvisor.com/Hotel_Review-g60864-d218544-Reviews-or10-The_Whitney_Hotel-New_Orleans_Louisiana.html%23REVIEWS,https://www.tripadvisor.com/Hotel_Review-g60864-d218544-Reviews-or30-The_Whitney_Hotel-New_Orleans_Louisiana.html#REVIEWS,https://www.tripadvisor.com/Hotel_Review-g60864-d218544-Reviews-or730-The_Whitney_Hotel-New_Orleans_Louisiana.html#REVIEWS,https://www.tripadvisor.com/Hotel_Review-g60864-d218544-Reviews-or1515-The_Whitney_Hotel-New_Orleans_Louisiana.html#REVIEWS,https://www.tripadvisor.com/Hotel_Review-g60864-d218544-Reviews-or1425-The_Whitney_Hotel-New_Orleans_Louisiana.html#REVIEWS,https://www.tripadvisor.com/Hotel_Review-g60864-d218544-Reviews-or1010-The_Whitney_Hotel-New_Orleans_Louisiana.html#REVIEWS,https://www.tripadvisor.com/Hotel_Review-g60864-d218544-Reviews-or845-The_Whitney_Hotel-New_Orleans_Louisiana.html%23REVIEWS,https://www.tripadvisor.com/Hotel_Review-g60864-d218544-Reviews-or500-The_Whitney_Hotel-New_Orleans_Louisiana.html#REVIEWS,https://www.tripadvisor.com/Hotel_Review-g60864-d218544-Reviews-or905-The_Whitney_Hotel-New_Orleans_Louisiana.html#REVIEWS,https://www.tripadvisor.com/Hotel_Review-g60864-d218544-Reviews-or1100-The_Whitney_Hotel-New_Orleans_Louisiana.html%23REVIEWS,https://www.tripadvisor.com/Hotel_Review-g60864-d218544-Reviews-or815-The_Whitney_Hotel-New_Orleans_Louisiana.html%23REVIEWS,https://www.tripadvisor.com/Hotel_Review-g60864-d218544-Reviews-or385-The_Whitney_Hotel-New_Orleans_Louisiana.html%23REVIEWS,https://www.tripadvisor.com/Hotel_Review-g60864-d218544-Reviews-or510-The_Whitney_Hotel-New_Orleans_Louisiana.html#REVIEWS,https://www.tripadvisor.com/Hotel_Review-g60864-d218544-Reviews-or175-The_Whitney_Hotel-New_Orleans_Louisiana.html#REVIEWS,https://www.tripadvisor.com/Hotel_Review-g60864-d218544-Reviews-or650-The_Whitney_Hotel-New_Orleans_Louisiana.html%23REVIEWS,https://www.tripadvisor.com/Hotel_Review-g60864-d218544-Reviews-or255-The_Whitney_Hotel-New_Orleans_Louisiana.html%23REVIEWS,https://www.tripadvisor.com/Hotel_Review-g60864-d218544-Reviews-or1295-The_Whitney_Hotel-New_Orleans_Louisiana.html%23REVIEWS,https://www.tripadvisor.com/Hotel_Review-g60864-d218544-Reviews-or225-The_Whitney_Hotel-New_Orleans_Louisiana.html#REVIEWS,https://www.tripadvisor.com/Hotel_Review-g60864-d218544-Reviews-or885-The_Whitney_Hotel-New_Orleans_Louisiana.html#REVIEWS,https://www.tripadvisor.com/Hotel_Review-g60864-d218544-Reviews-or755-The_Whitney_Hotel-New_Orleans_Louisiana.html%23REVIEWS,https://www.tripadvisor.com/Hotel_Review-g60864-d218544-Reviews-or520-The_Whitney_Hotel-New_Orleans_Louisiana.html#REVIEWS,https://www.tripadvisor.com/Hotel_Review-g60864-d218544-Reviews-or690-The_Whitney_Hotel-New_Orleans_Louisiana.html#REVIEWS,https://www.tripadvisor.com/Hotel_Review-g60864-d218544-Reviews-or410-The_Whitney_Hotel-New_Orleans_Louisiana.html%23REVIEWS,https://www.yellowbook.com/profile/the-whitney-hotel_1896944219.html,https://www.tripadvisor.com/Hotel_Review-g60864-d218544-Reviews-or775-The_Whitney_Hotel-New_Orleans_Louisiana.html#REVIEWS,https://www.tripadvisor.com/Hotel_Review-g60864-d218544-Reviews-or955-The_Whitney_Hotel-New_Orleans_Louisiana.html#REVIEWS,https://www.tripadvisor.com/Hotel_Review-g60864-d218544-Reviews-or1285-The_Whitney_Hotel-New_Orleans_Louisiana.html%23REVIEWS,https://www.tripadvisor.com/Hotel_Review-g60864-d218544-Reviews-or1585-The_Whitney_Hotel-New_Orleans_Louisiana.html#REVIEWS,https://www.tripadvisor.com/Hotel_Review-g60864-d218544-Reviews-or210-The_Whitney_Hotel-New_Orleans_Louisiana.html#REVIEWS,https://www.tripadvisor.com/Hotel_Review-g60864-d218544-Reviews-or390-The_Whitney_Hotel-New_Orleans_Louisiana.html#REVIEWS,https://www.tripadvisor.com/Hotel_Review-g60864-d218544-Reviews-or1210-The_Whitney_Hotel-New_Orleans_Louisiana.html#REVIEWS,https://www.tripadvisor.com/Hotel_Review-g60864-d218544-Reviews-or1490-The_Whitney_Hotel-New_Orleans_Louisiana.html%23REVIEWS,https://www.tripadvisor.com/Hotel_Review-g60864-d218544-Reviews-or1320-The_Whitney_Hotel-New_Orleans_Louisiana.html%23REVIEWS,https://www.tripadvisor.com/Hotel_Review-g60864-d218544-Reviews-or530-The_Whitney_Hotel-New_Orleans_Louisiana.html#REVIEWS,https://www.tripadvisor.com/Hotel_Review-g60864-d218544-Reviews-The_Whitney_Hotel-New_Orleans_Louisiana.html,https://www.tripadvisor.com/Hotel_Review-g60864-d218544-Reviews-or1425-The_Whitney_Hotel-New_Orleans_Louisiana.html%23REVIEWS,https://www.tripadvisor.com/Hotel_Review-g60864-d218544-Reviews-or505-The_Whitney_Hotel-New_Orleans_Louisiana.html#REVIEWS,https://www.tripadvisor.com/Hotel_Review-g60864-d218544-Reviews-or580-The_Whitney_Hotel-New_Orleans_Louisiana.html%23REVIEWS,https://www.tripadvisor.com/Hotel_Review-g60864-d218544-Reviews-or320-The_Whitney_Hotel-New_Orleans_Louisiana.html%23REVIEWS,https://www.tripadvisor.com/Hotel_Review-g60864-d218544-Reviews-or60-The_Whitney_Hotel-New_Orleans_Louisiana.html#REVIEWS,https://www.tripadvisor.com/Hotel_Review-g60864-d218544-Reviews-or1515-The_Whitney_Hotel-New_Orleans_Louisiana.html%23REVIEWS,https://www.tripadvisor.com/Hotel_Review-g60864-d218544-Reviews-or1220-The_Whitney_Hotel-New_Orleans_Louisiana.html%23REVIEWS,https://www.tripadvisor.com/Hotel_Review-g60864-d218544-Reviews-or1130-The_Whitney_Hotel-New_Orleans_Louisiana.html#REVIEWS,https://www.tripadvisor.com/Hotel_Review-g60864-d218544-Reviews-or1095-The_Whitney_Hotel-New_Orleans_Louisiana.html#REVIEWS,https://www.tripadvisor.com/Hotel_Review-g60864-d218544-Reviews-or1400-The_Whitney_Hotel-New_Orleans_Louisiana.html#REVIEWS,https://www.tripadvisor.com/Hotel_Review-g60864-d218544-Reviews-or485-The_Whitney_Hotel-New_Orleans_Louisiana.html#REVIEWS,https://www.tripadvisor.com/Hotel_Review-g60864-d218544-Reviews-or845-The_Whitney_Hotel-New_Orleans_Louisiana.html#REVIEWS,https://www.tripadvisor.com/Hotel_Review-g60864-d218544-Reviews-or995-The_Whitney_Hotel-New_Orleans_Louisiana.html#REVIEWS","http://www.whitneyhotel.com/,http://www.whitneyhotel.com"
